product_name,product_class
Afaxacin,Analgesics
Oxymotroban Fexoformin,Analgesics
Dexmebital Acanplan,Analgesics
Pulmodiol Adalaxime,Analgesics
Amcibax Amcikeran,Analgesics
Formolovir Amanferon,Analgesics
Alglutriptan,Analgesics
Amlominphen Dexanovate,Analgesics
Zonixamine Immulinum,Analgesics
Aldevac,Analgesics
Kiovax Tercorolac,Analgesics
Victomax,Analgesics
Zyvance,Analgesics
Acelimus,Analgesics
Flutacerol,Analgesics
Lioletine Refliruvax,Analgesics
Proprabax,Analgesics
Dantolac Pazocor,Analgesics
Betanem,Analgesics
Penitrana,Analgesics
Epzipitant,Analgesics
Ketastadil,Analgesics
Ionclotide,Analgesics
Alpradipine,Analgesics
Topifribrate,Analgesics
Diazemid Felcept,Analgesics
Neuropogen Empibax,Analgesics
Atomorelin,Analgesics
Kinovatol,Analgesics
Lovephilus,Analgesics
Dasagestin,Analgesics
Paronium Atracustone,Analgesics
Thionide,Analgesics
Dexacilin Triline,Analgesics
Clindaracil,Analgesics
Alimmethate Insudase,Analgesics
Alemtuvatol Megalinum,Analgesics
Sevotrana Tiafoxin,Analgesics
Symbitrim,Analgesics
Ampysin,Analgesics
Sumanazole,Analgesics
Aquamycin Lacoran,Analgesics
Claricriptine Adaferol,Antibiotics
Pentastrin,Antibiotics
Tetalamide,Antibiotics
Imiformin Transmunex,Antibiotics
Fentatrol Rapatelase,Antibiotics
Relenstrel Exurabine,Antibiotics
Comzyme,Antibiotics
Saprodeine Zanprosyn,Antibiotics
Vibratosine Alemtrace,Antibiotics
Symbiroban,Antibiotics
Choriotrisin,Antibiotics
Nisorase,Antibiotics
Nevanide Actozide,Antibiotics
Apronazol,Antibiotics
Pulmofine,Antibiotics
Methiclotide,Antibiotics
Cephozumab Synmethate,Antibiotics
Antilamin Clinbital,Antibiotics
Tesnorphine Silotamine,Antibiotics
Acantaine,Antibiotics
Hydroxyprosyn,Antibiotics
Algluconium Dorzofoxin,Antibiotics
Aspinavir Silovance,Antibiotics
Brimorix Amonine,Antibiotics
Claripenem,Antibiotics
Abatatriptan,Antibiotics
Adtiza Gammaluble,Antibiotics
Interfestar,Antibiotics
Thalilamide,Antibiotics
Asparathasone Unipan,Antibiotics
Belavarix Benzabicin,Antibiotics
Primapion,Antibiotics
Ranediol,Antibiotics
Eproline,Antibiotics
Araxetine,Antibiotics
Halcifergen Nevazone,Antimalarial
Syntheruvax Proracin,Antimalarial
Sanctumine,Antimalarial
Tetratanyl,Antimalarial
Amamadin,Antimalarial
Cyclovital,Antimalarial
Sodinel Olofribrate,Antimalarial
Stelazolid,Antimalarial
Adrecetam Barazoxane,Antimalarial
Afluferon Entrarenone,Antimalarial
Aggretisol,Antimalarial
Dorzovorin Pentadarone,Antimalarial
Arivac,Antimalarial
Doxivorin,Antimalarial
Megenorphine,Antimalarial
Effigine Propraprex,Antimalarial
Temasone Thiobucil,Antimalarial
Clinicilin Pentozone,Antimalarial
Pitodomide,Antimalarial
Microroban Afatigomar,Antimalarial
Magneprex,Antimalarial
Ampinonide,Antimalarial
Halciramine,Antimalarial
Interzide,Antimalarial
Requimadin,Antimalarial
Zynosine,Antimalarial
Aclonuma,Antimalarial
Abobozolid,Antimalarial
Cogxone Levanide,Antimalarial
Relenvice,Antimalarial
Xenaminphen,Antimalarial
Propratecan,Antimalarial
Finanel,Antimalarial
Albuterenone,Antimalarial
Victomine,Antimalarial
Cortirodine Alimcline,Antipiretics
Abilovir Aprotasol,Antipiretics
Ibrulinum,Antipiretics
Decidenu Galantrigine,Antipiretics
Fosinofen,Antipiretics
Robapril,Antipiretics
Darlofen,Antipiretics
Sevoderm,Antipiretics
Bexridol,Antipiretics
Afinitasol,Antipiretics
Allomenda,Antipiretics
Alpharolac,Antipiretics
Fentalac,Antipiretics
Imiderm Vibranovate,Antipiretics
Aprerase,Antipiretics
Ketamara Evogel,Antipiretics
Ceftatana Serolamide,Antipiretics
Aciprex,Antipiretics
Metapatch,Antipiretics
Tacrodomide,Antipiretics
Travosoline Capolac,Antipiretics
Acubulin,Antipiretics
Theopril,Antipiretics
Lactubucil,Antipiretics
Tracdomide,Antipiretics
Immurenol Temarate,Antipiretics
Cordamectin Actolamin,Antipiretics
Zarostral,Antipiretics
Lansopril Acribax,Antipiretics
Argalazine Abostryl,Antipiretics
Symdocet,Antipiretics
Kinenadryl,Antipiretics
Secrelazine Insonamic,Antipiretics
Amavirase,Antipiretics
Tiaracil,Antipiretics
Factolamide,Antiseptics
Lovepion,Antiseptics
Ribabyclor,Antiseptics
Interfedox Pilobamol,Antiseptics
